Boryokudan,暴力団,Representative(Including second-in-command),( 代 表 す る 者 に 代 わ る べ き 者 を 含 む 。),Approximate number of members,主たる事務所の所在地,Location of Main Office,latitude,longitude
Sixth Yamaguchi-gumi,六代目山口組,Kenichi Shinoda,篠田 建市,19000,兵庫県神戸市灘区篠原本町 4-3-1,"4-3-1 Shinohara-honmachi, Nada-ku, Kobe City, Hyogo",34.720022,135.2264577
Inagawa-kai,稲川会,Sin Byon-Gyu,辛 炳圭,4700,東京都港区六本木 7-8-4,"7-8-4 Roppongi, Minato-ku, Tokyo",35.6651999,139.7295315
Sumiyoshi-kai,住吉会,Shigeo Nishiguchi,西口 茂男,6100,東京都港区赤坂 6-4-21,"6-4-1 Akasaka, Minato-ku, Tokyo",35.67073,139.734992
Fourth Kudo-kai,四代目工藤會,Satoru Nomura,野村 悟,690,福岡県北九州市小倉北区神岳1-1-12,"1-1-12 Kantake, Kokurakita-ku, Kitakyushu City, Fukuoka",33.8727382,130.8903182
Third Kyokuryu-kai,三代目旭琉会,Yoshihiro Onaga,翁長 良宏,270,沖縄県那覇市首里石嶺町 4-301-6,"4-301-6 Shuri Ishimine-cho, Naha City, Okinawa",26.2351148,127.7300069
Okinawa Kyokuryu-kai,沖縄旭琉会,Kiyoshi Tominaga,富永 清,370,沖縄県那覇市辻 2-6-19,"2-6-19 Tsuji, Naha City, Okinawa",26.2169979,127.6714126
Sixth Aisukotetsu-kai,六代目会津小鉄会,Yoshitsugu Baba,馬場 美次,470,京都府京都市下京区東高瀬川筋上ノ口上る岩滝町176-1,"176-1 Higashi-tagasegawa-suji, Uenokuchi-agaru Iwataki-cho, Shimogyo-ku, Kyoto City, Kyoto",34.993083,135.765778
Fifth Kyosei-kai,五代目共政会,Atsumu Moriya,守屋 輯,290,広島県広島市南区南大河町 18-10,"18-10 Minami-oko-cho, Minami-ku, Hiroshima City, Hiroshima",34.3709662,132.4848377
Seventh Goda-ikka,七代目合田一家,Kim Kyo-Hwan,金 教煥,160,山口県下関市竹崎町 3-13-6,"3-13-6 Takezaki-cho, Shimonoseki City, Y a ma guc hi",33.9518921,130.9213914
Fourth Kozakura-ikka,四代目小桜一家,Kiei Hiraoka,平岡 喜榮,100,鹿児島県鹿児島市甲突町 9-1,"9-1 Kotsuki-cho, Kagoshima City, Kagoshima",31.5810332,130.5582189
Third Asano-gumi,三代目浅野組,Yoshiaki Kushita,串田 芳明,130,岡山県笠岡市笠岡 615-11,"615-11, Kasaoka, Kasaoka City, Okayama",34.5006165,133.5093465
Dojin-kai,道仁会,Tetsuji Kobayashi,小林 哲治,840,福岡県久留米市京町 247-6,"247-6 Kyo-machi, Kurume City, Fukuoka",33.3189308,130.4992328
Second Shinwa-kai,二代目親和会,Hirofumi Kira,吉良 博文,70,香川県高松市塩上町 2-14-4,"2-14-4 Shiogami-cho, Takamatsu City, Kagawa",34.337926,134.056009
Soai-kai,双愛会,Masanori Shioshima,塩島 正則,230,千葉県市原市潤井戸1343-8,"1343-8 Uruido, Ichihara City, Chiba",35.522761,140.167519
Third Kyodo-kai,三代目俠道会,Nozomu Watanabe,渡邉 望,180,広島県尾道市山波町 3025-1,"3025-1 sanba-cho, Onomichi City, Hiroshima",34.425889,133.229194
Taishu-kai,太州会,Hiroshi Hidaka,日高 博,170,福岡県田川市大字弓削田 1314-1,"1314-1 Ugeta, Oaza, Tgawa-city, Fukuoka",33.633514,130.78428
Seventh Sakaume-gumi,七代目酒梅組,Nam Yeoil,南 與一,110,大阪府大阪市西成区太子1-3-17,"1-3-17 Taishi, Nishinari-ku, Osaka-City, Osaka",34.6484651,135.5037524
Kyokuto-kai,極東会,Jo Gyu Hwa,曺 圭化,1200,東京都豊島区西池袋 1-29-5,"1-29-5 Nishi-ikebukuro, Toshima-ku, Tokyo",35.7322141,139.7110941
Second Azuma-gumi,二代目東組,Hiroshi Takimoto,滝本 博司,170,大阪府大阪市西成区山王1-11-8,"1-11-8 Sanno, Nishi-nari-ku,",34.6470736,135.5064078
Matsuba-kai,松葉会,Yoshiro Ogino,荻野 義朗,1200,東京都台東区西浅草 2-9-8,"2-9-8 Nishi-asakusa, Taito-ku, Tokyo",35.7128685,139.790267
Third Fukuhaku-kai,三代目福博会,Kim In Sun,金 寅純,300,福岡県福岡市博多区千代 5-18-15,"5-18-15 Chiyo, Hakata-ku, Fukuoka City, Fukuoka",33.6085946,130.4119253
Kyushu Seido-kai,九州誠道会,Park Jeong Ho,朴 政浩,380,福岡県大牟田市上官町 2-4-2,"2-4-2 Jyokan-cho, Omuta City, Fukuoka",33.0251767,130.4518459
